System;Country;City;Population1;Type;Dock Stations;Virtual Stations;Docks;Bikes;Operator;Reponsible Entity;Tecnology / Equipament;Old Tecnology / Equipament;Sponsor;Transit Integration;Opening Hours;Fees;Payment Options;Over Time Aditional Fee;Launched;Shut down;Relaunch;Description Re-launch;Open Data;API/Data;Website;Last update LatinoSBP;Source
Unimed Bike-JF;Brasil;Juiz de Fora;516247;Dock Based;1;NA;30;30;Tembici;Universidade Federal de Juiz;Compartbike tembici;NA;Unimed Juiz de Fora;No;06:00-22:00h;Free for Unimed Clients or Annual;Credit Card;Yes, Days Penality;December- 2014;NA;NA;NA;;;https://estacaounimedjf.tembici.com.br/;16/12/2019;http://www.unimedjf.coop.br/Conteudos/Noticias/releases/unimed-juiz-de-fora-inaugura-maior-estacao-bike-do-brasil-no-campus-da-ufjf
Yellow;Brasil;São José dos Campos;629921;Dockless;NA;Free-floating;NA;1200;Grow;Prefeitura de São José dos Campos;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;November-2018;NA;NA;NA;;;http://ongrin.com/pt/;17/12/2019;"http://meon.com.br/noticias/regiao/bikes-compartilhadas-bairros-zona-sul-sao-jose; https://www.sjc.sp.gov.br/noticias/2018/novembro/28/sao-jose-atrai-nova-operadora-e-amplia-sistema-de-bikes-compartilhadas/; https://www.sjc.sp.gov.br/noticias/2019/junho/8/sao-jose-amplia-numero-de-bikes-e-leva-o-servico-para-a-zona-sul/"
Yellow;Brasil;São Paulo;11253503;Dockless;NA;Free-floating;NA;700;Grow;Prefeitura de São Paulo;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;August-2018;NA;NA;NA;;;http://ongrin.com/pt/;18/12/2019;"https://veja.abril.com.br/economia/yellow-quer-100-mil-bikes-em-sp-precisamos-acreditar-no-brasileiro/; https://sao-paulo.estadao.com.br/noticias/geral,capao-redondo-tera-200-bicicletas-da-yellow-com-preco-comunitario-em-sp,70002815753"
Yellow;Brasil;Belo Horizonte;2375151;Dockless;NA;Free-floating;NA;500;Grow;Prefeitura de Belo Horizonte;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;January-2019;NA;NA;NA;;;http://ongrin.com/pt/;16/12/2019;https://www.hojeemdia.com.br/horizontes/moradores-de-bh-podem-alugar-patinetes-el%C3%A9tricos-a-partir-desta-ter%C3%A7a-1.686328
Yellow;Brasil;Curitiba;1751907;Dockless;NA;Free-floating;NA;400;Grow;Prefeitura de Curitiba;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;January-2019;NA;NA;NA;;;http://ongrin.com/pt/;10/12/2019;https://g1.globo.com/pr/parana/noticia/2019/01/22/servico-de-aluguel-de-bicicletas-e-patinetes-eletricos-sem-estacoes-pre-definidas-e-lancado-em-curitiba.ghtml
Yellow;Brasil;Brasília;3015268;Dockless;NA;Free-floating;NA;350;Grow;Prefeitura de Brasília;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;January-2019;NA;NA;NA;;;http://ongrin.com/pt/;10/12/2019;https://www.correiobraziliense.com.br/app/noticia/cidades/2019/01/28/interna_cidadesdf,733705/empresa-yellow-chega-a-brasilia-com-servico-de-aluguel-de-bicicletas.shtml
Yellow;Brasil;Florianópolis;421240;Dockless;NA;Free-floating;NA;200;Grow;Prefeitura de Florianópolis;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;December-2018;NA;NA;NA;;;http://ongrin.com/pt/;10/12/2019;https://www.nsctotal.com.br/colunistas/estela-benetti/locacao-de-bicicletas-em-florianopolis-comeca-nesta-terca-feira
Yellow;Brasil;Campinas;1080113;Dockless;NA;Free-floating;NA;200;Grow;Prefeitura de Campinas;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;January-2019;NA;NA;NA;;;http://ongrin.com/pt/;10/12/2019;https://www.acidadeon.com/campinas/cotidiano/regiao/NOT,0,0,1398722,yellow+lanca+bicicleta+sem+estacao+em+campinas.aspx
Yellow;Brasil;São José;209804;Dockless;NA;Free-floating;NA;50;Grow;Prefeitura de São José;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;June-2019;NA;NA;NA;;;http://ongrin.com/pt/;17/12/2019;"https://www.nsctotal.com.br/noticias/sao-jose-testa-o-uso-de-bicicletas-e-patinetes-eletricas-compartilhadas; https://www.saojose.sc.gov.br/index.php/sao-jose/noticias-desc/bicicletas-compartilhadas-e-patinetes-eletricos-comecam-a-ser-testados-em-s"
Yellow;Brasil;Vitória;327801;Dockless;NA;Free-floating;NA;;Grow;Prefeitura de Vitória;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;February-2019;NA;NA;NA;;;http://ongrin.com/pt/;18/12/2019;https://revistahype.com.br/yellow-lanca-operacao-de-bikes-e-patinetes-em-vitoria/  https://www.agazeta.com.br/es/gv/com-desistencia-em-vila-velha-empresa-leva-patinetes-para-vitoria-0219  https://www.agazeta.com.br/es/gv/patinetes-eletricos-e-bicicletas-dockless-chegam-a-vitoria-0219
Yellow;Brasil;São Vicente;332445;Dockless;NA;Free-floating;NA;;Grow;Prefeitura de São Vicente;Yellow;NA;Private;No;05:00-24:00h;Payment per hour;Credit Card;Yes;September-2019;NA;NA;NA;;;http://ongrin.com/pt/;18/12/2019;"https://www.diariodolitoral.com.br/sao-vicente/servico-de-compartilhamento-de-bikes-chega-a-sao-vicente/129260/; http://www.saovicente.sp.gov.br/publico/noticia.php?codigo=6305"
Yellow;Brasil;Porto Alegre;1409351;Dockless;NA;Free-floating;NA;;Grow;Prefeitura de Porto Alegre;Yellow;NA;Private;No;24h;Payment per hour;Credit Card;Yes;February-2019;NA;NA;NA;;;http://ongrin.com/pt/;13/12/2019;https://www.correiodopovo.com.br/not%C3%ADcias/geral/yellow-come%C3%A7a-operar-bicicletas-e-patinetes-de-aluguel-nesta-quarta-em-porto-alegre-1.321324
Bici Las condes;Chile;Santiago de Chile;7112808;Dock Based;99;NA;;990;Clear Channel;Municipalidad de Las Condes;Smartbike;NA;Public;No;05:00h-00:40h;Monthly, Annual;Credit Card;Yes;March-2015;NA;NA;NA;;JSON/SmartBike;https://www.bicilascondes.cl/;18/12/2019;https://web.archive.org/web/20150413214924/http://www.lascondes.cl/bicicletas/portada.html
BikeSantiago;Chile;Santiago de Chile;7112808;Dock Based;350;NA;;3500;Tembici;Municipalidad de Santiago;PBSC;B-Cycle;Itaú;No;24h;Daily, Monthly or Annual;Credit Card;Yes;February-2015;NA;February-2019;New bikes, new stations and new Technology;;;https://www.bikesantiago.cl/;18/12/2019;"https://www.munistgo.cl/alcaldesa-toha-inaugura-primer-sistema-de-bicicletas-publicas-en-la-comuna/; https://www.munistgo.cl/santiago-dispondra-de-nuevo-sistema-de-bicicletas-con-mayores-beneficios/"
Mobike;Chile;Santiago de Chile;7112808;Dockless;NA;Free-floating;NA;1500;Mobike;Municipalidad de La Reina;Mobike;NA;Private;with Tarjeta Ciudad;24h;Hour, Dailly, Monthly, 3 or 6 Months and Annual;Credit Card;Yes;March-2018;NA;NA;NA;;;https://mobike.com/global/;18/12/2019;"https://www.lareina.cl/index.php/slider/283-mobike-la-revolucion-de-las-bicicletas-llego-a-la-reina; http://revistapedalea.com/mobike-bike-sharing-de-nivel-mundial-llega-a-chile/"
Bicicletas publicas de Cajicá;Colombia;Cajicá;81111;Dock Based;2;NA;;30;Alcaldía de Cajicá;Alcaldía de Cajicá;Citybiobike;NA;Public;Yes;Workdays: 8:00h-17:00h;Free;NA;No;August-2018;NA;NA;NA;;;http://citybiobike.com/;23/12/2019;https://www.cajica.gov.co/sistema-publico-de-bicicletas-de-cajica-mas-facilidades-para-todos/ http://enbici-revista.blogspot.com/2018/06/manizales-en-bici.html http://citybiobike.com/quienes-somos/
Bicicletas Públicas de Chiá;Colombia;Chía;129613;Dock Based;2;NA;;30;Secretaria de movilidad;Alcaldía de Chía;Citybiobike;NA;Public;Yes;Workdays: 8:00h-17:00h;Free;NA;No;August-2019;NA;NA;NA;;;http://citybiobike.com/;23/12/2019;http://www.radiosantafe.com/2019/08/12/chia-estrena-bicicletas-publicas-gratuitas/ https://www.chia-cundinamarca.gov.co/index.php/3643-sabes-como-tener-acceso-al-prestamo-de-una-bicicleta-en-nuestro-municipio http://citybiobike.com/quienes-somos/ http://enbici-revista.blogspot.com/2018/06/manizales-en-bici.html
Bicicletas Públicas de Ibagué;Colombia;Ibagué;500686;Dock Based;1;NA;;20;Secretaria de Transito;Alcaldía de Ibagué;;NA;Public;No;6:00h-20:00h;Free;NA;No;February-2018;NA;NA;NA;;;;20/12/2019;"https://www.ibague.gov.co/portal/seccion/noticias/index.php?idnt=4686  https://www.ibague.gov.co/portal/seccion/noticias/index.php?idnt=4050 https://www.alertatolima.com/noticias/tolima/ibague/ibague-tendra-sistema-de-bicicletas-publicas https://www.ecosdelcombeima.com/ibague/nota-126915-ha-utilizado-el-servicio-de-bicicletas-publicas-en-ibague ; https://www.ecosdelcombeima.com/ibague/nota-126915-ha-utilizado-el-servicio-de-bicicletas-publicas-en-ibague ; http://www.euroclimaplus.org/movilidadurbana/item/224-piloto-ibague%20class= ; https://www.alertatolima.com/noticias/tolima/ibague/ibague-tendra-sistema-de-bicicletas-publicas"
Bicicletas Publicas de Quimbaya;Colombia;Quimbaya;29117;Dock Based;1;NA;;37;Alcaldía de Quimbaya en Quíndio;Alcaldia de Quimbaya en Quíndio;;NA;Public;Yes;;Free;NA;No;December-2016;NA;NA;NA;;;;26/12/2019;http://www.noticiasdospuntos.com.co/quimbaya-ahora-37-bicicletas-publicas-la-comunidad-los-turistas-disfruten-paisajes/ https://www.mintransporte.gov.co/publicaciones/5128/bicicletas-publicas-recorreran-las-calles-de-quimbaya-en-el-quindio/
Bicicletas publicas de Zipaquirá;Colombia;Zipaquirá;129652;Dock Based;2;NA;;30;Alcadía de Zipaquirá;Alcadía de Zipaquirá;Citybiobike;NA;Public;Yes;Workdays: 8:00h-17:00h;Free;NA;No;February-2018;NA;NA;NA;;;http://citybiobike.com/;23/12/2019;http://www.zipaquira-cundinamarca.gov.co/noticias/sistema-publico-de-bicicletas  https://www.eltiempo.com/bogota/bicicletas-publicas-gratuitas-en-chia-cajica-y-zipaquira-185674
BiciCo;Colombia;Bogotá;7181469;Dock Based;6;NA;;50;;Municipalidad de Bogotá;;NA;Carulla / Colapatria / Scotiabank / Codensa;No;6:30h-20:00h;Hour, Daily or Montlhy;Credit Card;Yes;August-2018;NA;NA;NA;;;https://play.google.com/store/apps/details?id=com.bicico.bicico&hl=pt_BR;20/12/2019;https://www.larepublica.co/empresas/bicico-la-app-de-prestamo-de-bicicletas-electricas-compartidas-que-lanzaron-en-bogota-2760235 https://www.elespectador.com/noticias/bogota/asi-es-bicico-la-nueva-propuesta-de-alquiler-de-bicicletas-electricas-en-bogota-articulo-806574
BiciEstación;Colombia;Cali;1822869;Dock Based;11;NA;;43;Biciestación;Municipalidad de Cali;;NA;Holguines/ adn Rodas/ starker;Yes;variable time by station;Free;NA;Yes;October-2016;NA;NA;NA;;;https://www.biciestacion.com/;20/12/2019;http://calicreativa.com/biciestacion-una-nueva-forma-de-pedalear-por-la-ciudad/#respond / https://www.cali.gov.co/movilidad/publicaciones/115572/cali_empieza_a_formar_la_red_emprendimientos_con_la_bicicleta_como_protagonista/
Bici-Río;Colombia;Rionegro;116400;Dock Based;6;NA;;80;Universidad Eafit;Alcaldía de Rionegro;Local;NA;Public;Yes;6:30h-18:00h;Free;NA;Yes;December-2016;NA;NA;NA;;;;26/12/2019;https://orientese.co/bici-rio-ahora-tambien-los-sabados/ http://diarioriente.com/altiplano/rionegro-se-puede-viajar-gratis-bici-rio-toda-la-ciudad-funciona.html
Bisinu;Colombia;Montería;433723;Dock Based;13;NA;;200;Biciclick;Alcaldía de Montería;Biciclick;NA;Public;Yes;Workdays: 07:00h-12:00, 2:00h-18:00h/Saturday: 9:00h-12h;Free;NA;No;October-2015;NA;NA;NA;;;https://bisinu.com/;27/12/2019;https://www.monteria.gov.co/publicaciones/2067/bisinu/ https://www.laguiademonteria.co/como-funciona-el-programa-bisinu/ https://www.laguiademonteria.co/se-inauguro-el-servicio-de-bicicletas-publicas-en-monteria/ https://www.monteria.gov.co/publicaciones/2067/bisinu/
EnCicla;Colombia;Valle de Aburrá (Medellín);2372330;Dock Based;80;NA;;1680;La Bici;Área Metropolitana Valle de Aburrá;Local;NA;Public;Yes;Workdays: 5:30h-22:00h/Saturday: 6:30-16:00h;Free;NA;No;September-2011;NA;September-2014;New Technology;;;http://www.encicla.gov.co/;23/12/2019;http://www.eafit.edu.co/agencia-noticias/historico-noticias/2011/octubre/Paginas/ciudadanos-medellin-encicla-eafit.aspx https://www.getvico.com/blog/es/encicla-bicicletas-gratis-medellin/ https://www.eltiempo.com/colombia/medellin/encicla-estrena-tres-estaciones-nuevas-en-medellin-386416 https://www.elcolombiano.com/antioquia/encicla-en-envigado-comienza-operacion-con-estaciones-NN11946784 https://www.metropol.gov.co/Paginas/Noticias/encicla-amplia-horario-de-prestacion-de-servicio.aspx https://caracol.com.co/radio/2014/09/30/regional/1412053560_439089.html
Manizales en Bici;Colombia;Manizales;400136;Dock Based;8;NA;;185;Dimat;Alcaldía de Manizales;City biobike;NA;Public;Yes;6:00h-20:00h;Free;NA;No;November-2015;NA;January-2019;New bikes and new stations;;;http://citybiobike.com/;23/12/2019;https://www.wradio.com.co/noticias/regionales/8203manizales-implementara-sistema-de-bicicletas-publicas/20151104/nota/2989746.aspx https://www.lapatria.com/economia/bicicletas-publicas-de-manizales-estan-de-regreso-430154 https://www.eltiempo.com/colombia/otras-ciudades/regresaron-las-bicicletas-publicas-en-la-ciudad-de-manizales-179758 https://www.lapatria.com/manizales/regresaron-las-bicicletas-publicas-las-calles-de-manizales-410712
Megabici;Colombia;Pereira;409670;Dock Based;4;NA;;100;Dimat;Alcaldía de Pereira;Citybiobike;NA;Public;Yes;Workdays: 07:00h-17:00h;Free;NA;No;August-2019;NA;NA;NA;;;http://www.pereira.gov.co/MegaBici/Paginas/Inicio.aspx;26/12/2019;https://risaraldahoy.com/alcalde-de-pereira-inauguro-el-sistema-de-bicicletas-publicas/
Metrobici;Colombia;Bucaramanga;528855;Dock Based;10;NA;;270;Dimat;Municipalidad de Bucaramanga;Citybiobike;NA;Public;Yes;07:30h-17:00h;Free;NA;No;October-2019;NA;NA;NA;;;https://metrobicibga.wixsite.com/misitio;21/01/2020;
Muvo;Colombia;Bogotá;7181469;Dockless;NA;Free-floating;NA;150;Muvo;Municipalidad de Bogotá;Muvo;NA;Private;No;Workdays: 6:00-22:00h/Saturday: 6:00-18:00h/Sunday: 10:00-17:00h;Payment per hour;Credit Card;Yes;March-2018;NA;NA;NA;;;https://muvo.bike/?lang=en;20/12/2019;"https://mirutafacil.com/bicis-electricas-de-uso-compartido-muvo/; https://www.eltiempo.com/bogota/bicicletas-electricas-de-uso-compartido-en-bogota-192318; https://www.facebook.com/pg/muvobike/about/?ref=page_internal"
Programa Bicicletas Públicas;Colombia;Neiva;314526;Dock Based;2;NA;;30;Biciclick;Alcaldía de Neiva;Biciclick;NA;Unicentro;Yes;;Free;NA;No;July-2019;NA;NA;NA;;;http://www.biciclick.co/;26/12/2019;alcaldianeiva.gov.co/NuestraAlcaldia/SalaDePrensa/Paginas/Neiva-tendrá-cinco-estaciones-de-Bicicletas-Públicas.aspx https://opanoticias.com/neiva/las-bicicletas-publicas-ya-estan-en-neiva/6830 https://www.nuestrasnoticias.co/actualidad/neiva-ya-cuenta-con-estaciones-de-bicicletas-publicas_2674
Programa de Bicicletas Públicas;Colombia;Sincelejo;274622;Dock Based;8;NA;;210;Alcaldía de Sincelejo;Alcaldía de Sincelejo;;NA;Public;Yes;6:00h-18:00h;Free;NA;No;September-2015;NA;NA;NA;;;;27/12/2019;http://www.alcaldiadesincelejo.gov.co/NuestraAlcaldia/SaladePrensa/Paginas/SINCELEJO-CUENTA-CON-TRES-NUEVOS-PUNTOS-DE-BICICLETAS-P%C3%9ABLICAS.aspx https://www.eluniversal.com.co/regional/sucre/sincelejo-tendra-punto-de-anclaje-automatizado-de-bicicletas-publicas-266012-LUEU379277 https://www.eltiempo.com/archivo/documento/CMS-16572091  https://www.elheraldo.co/sucre/sistema-esta-funcionando-en-sincelejo-con-140-bicis-379623 https://www.eltiempo.com/archivo/documento/CMS-16354760
Valledupar Avanza en Bici;Colombia;Valledupar;459349;Dock Based;8;NA;;80;Alcaldía de Valledupar;Alcaldía de Valledupar;;NA;Public;Yes;7:00h-19:00h;Free;NA;No;November-2019;NA;NA;NA;;;http://www.valleduparavanzaenbici.com.co/;26/12/2019;https://elpilon.com.co/vuelven-al-ruedo-las-bicicletas-publicas-en-valledupar/
VillaBici;Colombia;Villavicencio;451212;Dock Based;7;NA;;100;Secretaria de Movilidad de la Alcaldia de Villavicencio;Alcaldía de Villavicencio;;NA;Public;Yes;Workdays: 07:00h-19:00h/Saturday: 07:00h-15:00h;Free;NA;No;April-2019;NA;NA;NA;;;http://villabici.movilidadvillavicencio.gov.co/;26/12/2019;https://www.viveelmeta.com/termino-contrato-con-operador-de-villabici-2599/
Omni;Costa Rica;San José;322155;Dockless;NA;Free-floating;NA;550;Grab;Municipalidad de San Jose;Grab;NA;COOPENAE;No;05:00h-22:00h;Payment per hour;Credit Card;Yes;October-2019;NA;NA;NA;;;https://omni.cr/;27/12/2019;https://outline.com/eP5bHv https://www.larepublica.net/noticia/usted-podra-alquilar-bicis-electricas-con-coopenae https://www.larepublica.net/noticia/a-partir-de-manana-podra-alquilar-bicis-en-la-capital
Habici;Cuba;Havana;2130517;Dock Based;7;NA;;60;Ayuntamiento de La Habana;Ayuntamiento de La Habana;Tecnalia;NA;Public;No;Tuesday-Sunday: 9:00h-18h;Weekly, Monthly or Annual;Cash;Yes;November-2018;NA;NA;NA;;;;27/12/2019;https://oncubanews.com/cuba/habici-en-bicicletas-publicas-por-la-habana/ http://www.canalcaribe.icrt.cu/ha-bici-una-alianza-entre-lo-privado-y-estatal-para-la-movilidad/ http://www.habanaradio.cu/culturales/la-habana-sobre-dos-ruedas/
BiciCuenca;Ecuador;Cuenca;505585;Dock Based;20;NA;;240;Bici Cuenca SA;Alcaldía de Cuenca;Serttel;NA;Public;No;06:00 - 19:00h;Daily, Monthly or Annual;Credit Card, Debit Card or Cash;Yes;April-2019;NA;NA;NA;;;https://www.bicicuenca.com/;27/12/2019;http://www.emov.gob.ec/?q=content/estaciones-instaladas-de-bici-p%C3%BAblica-en-cuenca  http://www.emov.gob.ec/?q=content/se-colocan-primeras-estaciones-de-bici-p%C3%Bablica
BiciQuito;Ecuador;Quito;2239191;Dock Based;26;NA;;480;AMT Quito - Agencia Metropolitana de Tránsito / Empresa Publica Metropolitana de movilidad y obras publicas;Municipio del Distrito Metropolitano de Quito;Local;NA;Public;No;Workdays: 07:00h-19:00h/Weekends: 08:00h-17:00h;Free;NA;Yes, Days Penality;July-2012;NA;NA;NA;;;http://www.biciquito.gob.ec/;27/12/2019;https://www.elcomercio.com/actualidad/quito-incrementar-numero-usuarios-bicicleta.html https://www.elcomercio.com/actualidad/bicicleta-publica-quito-unidades-funcionamiento.html
BiciLeón;México;León;1436480;Dockless;NA;55;NA;500;Mobike;Ayuntamiento de León;Mobike;NA;Private;No;05:30h-00:30h;Payment per hour;Credit Card or Debit Card;Yes;September-2019;NA;NA;NA;;;https://mobike.com/mx/;30/12/2019;https://www.milenio.com/politica/comunidad/bicileon-como-usar-las-bicicletas https://www.am.com.mx/guanajuato/noticias/Cuanto-cuesta-usar-la-Bici-Leon-Arranca-manana-20190919-0028.html
